כלל,מילות_מפתח,סטטוס_נוכחי,סטטוס_מוצע,סיבה
אישור_קליטה,בקשת ההצטרפות התקבלה|פרטי חשבון להפקדה,ממתין לפתיחת קופה,ממתין להפקדה ראשונה,הקופה נפתחה
נספח_ו,אישור נספח ו|מצב אישור נספח ו,ממתין לקבלת נספח ו',ממתין למשלוח נספח ו' למעסיק,נספח ו' התקבל
הפקדה,הודעה לסוכן על קליטת הפקדה ראשונה|קליטת הפקדה,ממתין להפקדה ראשונה,ממתין לשיוך כספים,הפקדה בוצעה
ניוד,הצבירה הועברה|הכספים עברו,ממתין לצבירה מניוד,ממתין להשתקפות בשורנס,כספים עברו
רג'קט_חוסרים,חסרים מסמכים|נדרשים מסמכים,*,רג'קט,חסרים מסמכים
רג'קט_דחייה,דחייה|נדחה|לא אושר,*,רג'קט,בקשה נדחתה
רג'קט_שגיאה,שגיאה|תקלה|קובץ שגוי,*,רג'קט,יש שגיאה
רג'קט_תיקון,נא לתקן|בקשה לעדכון,*,רג'קט,נדרש תיקון
