נושא_מייל,מילות_מפתח,סטטוס_נוכחי,סטטוס_מוצע,סיבה,confidence
אישור_קליטת_הצטרפות,"בקשת ההצטרפות התקבלה|אישור קליטת בקשת הצטרפות|פרטי חשבון להפקדה|התקבלה בחברה",ממתין לפתיחת קופה,ממתין להפקדה ראשונה,הקופה נפתחה והתקבלה,0.98
נספח_ו_התקבל,"אישור נספח ו|מצב אישור נספח ו|נספח ו' בגין בקשת ההצטרפות|נספח ו בגין",ממתין לקבלת נספח ו',ממתין למשלוח נספח ו' למעסיק,נספח ו' התקבל ומוכן למשלוח,0.98
הפקדה_ראשונה,"הודעה לסוכן על קליטת הפקדה ראשונה|הפקדה ראשונית התקבלה|קליטת הפקדה ראשונה|ההפקדה הראשונה בוצעה",ממתין להפקדה ראשונה,ממתין לשיוך כספים,ההפקדה הראשונה בוצעה,0.95
ניוד_כספים,"הכספים עברו לקופה|ניוד כספים בוצע|הצבירה הועברה|הכסף הגיע|העברת כספים בוצעה",ממתין לצבירה מניוד,ממתין להשתקפות בשורנס,הכספים עברו לקופה החדשה,0.95
חוסר_מסמכים,"חסרים מסמכים|נדרשים מסמכים נוספים|אנא השלם|חוסר|מסמכים חסרים",*,רג'קט,חסרים מסמכים לטיפול,0.9
דחיית_בקשה,"דחייה|נדחה|לא אושר|בקשה לא התקבלה",*,רג'קט,הבקשה נדחתה,0.95
שגיאה_בקובץ,"שגיאה|קובץ שגוי|בעיה בטופס|תקלה",*,רג'קט,יש שגיאה שצריך לטפל בה,0.85
בקשת_תיקון,"נא לתקן|בקשה לעדכון|שינוי פרטים",*,רג'קט,נדרש תיקון/עדכון פרטים,0.8
